"Dealer ID","Stock Number",Year,Make,Model,Trim,Vin,mileage,Price,Color,"Interior Color",Transmission,photo_urls,Description,Options,"Vehicle Type",Engine,Drive-train,"Fuel Type","Destination URL","New\/Used",Certified,Doors,MSRP,Down-payment,"Fuel city min","Fuel city max","Highway city min","Highway city max",Title,"Date added","Car report",Condition
44012,,,,,,,,0,,,,,,,,,,,,Used,Certified,,0,0,-,-,-,-,,,none," New"
44012,,2022,Yamaha,YZ450F,,,,11099,,,,,"Liquid cooled, fuel injected, 450cc, 5 speed transmissionFinance it for $270.00 per month for 60 months with nothing at 4.49%",,,,,,https://gacheckpoint.com/products/2022-yamaha-yz450f,Used,Certified,,0,0,-,-,-,-,,,none," New"
44012,,,,,,,,0,,,,,,,,,,,,Used,Certified,,0,0,-,-,-,-,,,none," Used"
44012,,,,,,,,0,,,,,,,,,,,,Used,Certified,,0,0,-,-,-,-,,,none," Used"
44012,,2022,Yamaha,YZ450F,,,,11099,,,,,,,,,,,https://gacheckpoint.com/products/2022-yamaha-yz450f,Used,Certified,,0,0,-,-,-,-,,,none," New"
44012,,Yamaha,EF4500iSE,Inverter,,,,4999,,,,https://gacheckpoint.com/wp-content/uploads/2016/01/yamaha-EF4500iSE_1-775x700.png,"Yamaha EF4500iSE generator / inverter",,,,,,https://gacheckpoint.com/products/yamaha-ef4500ise-inverter,Used,Certified,,0,0,-,-,-,-,,,none," New"
44012,,Yamaha,EF4500iSE,Inverter,,,,4999,,,,https://gacheckpoint.com/wp-content/uploads/2016/01/yamaha-EF4500iSE_1-775x700.png,"Max AC output – 4500 Wats",,,,,,https://gacheckpoint.com/products/yamaha-ef4500ise-inverter,Used,Certified,,0,0,-,-,-,-,,,none," New"
44012,,Yamaha,EF4500iSE,Inverter,,,,4999,,,,https://gacheckpoint.com/wp-content/uploads/2016/01/yamaha-EF4500iSE_1-775x700.png,"Rated AC Output – 4000 WattsElectric StartFuel capacity – 17 litersRunning time at rated output – 7.4 hoursRunning time at 1/4 load – 15.2 hoursdry weight – 220lb3 year factory warrantyfinancing available",,,,,,https://gacheckpoint.com/products/yamaha-ef4500ise-inverter,Used,Certified,,0,0,-,-,-,-,,,none," New"
44012,,2022,Yamaha,YZ125X,,,,8399,,,,"https://gacheckpoint.com/wp-content/uploads/2022/05/2022-YZ125X-01-1280x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/05/2022-YZ125X-02-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/05/2022-YZ125X-03-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/05/2022-YZ125X-04-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/05/2022-YZ125X-05-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/05/2022-YZ125X-06-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/05/2022-YZ125X-07-1300x700.jpg","Liquid cooled, 125cc, 2 stroke, 6 speed transmission.Finance it for $214.00 per month for 60 months with nothing down at 4.49%",,,,,,https://gacheckpoint.com/products/2022-yamaha-yz125x,Used,Certified,,0,0,-,-,-,-,,,none," New"
44012,,2022,Yamaha,YZ125X,,,,8399,,,,"https://gacheckpoint.com/wp-content/uploads/2022/05/2022-YZ125X-01-1280x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/05/2022-YZ125X-02-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/05/2022-YZ125X-03-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/05/2022-YZ125X-04-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/05/2022-YZ125X-05-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/05/2022-YZ125X-06-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/05/2022-YZ125X-07-1300x700.jpg",,,,,,,https://gacheckpoint.com/products/2022-yamaha-yz125x,Used,Certified,,0,0,-,-,-,-,,,none," New"
44012," 000706",2022,Yamaha,MT07,,,,9399,,,,"https://gacheckpoint.com/wp-content/uploads/2022/04/22-MT07-Blue-01-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/22-MT07-Blue-02-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/22-MT07-Blue-03-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/22-MT07-Blue-04-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/22-MT07-Blue-05-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/22-MT07-Blue-06-1300x700.jpg","Liquid cooled, Fuel injected, 689 cc twin-cylinder CP2 engine, 75 horse power, 6 speed transmission, ABS brakes.",,,,,,https://gacheckpoint.com/products/2022-yamaha-mt07-2,Used,Certified,,0,0,-,-,-,-,,,none," New"
44012," 000706",2022,Yamaha,MT07,,,,9399,,,,"https://gacheckpoint.com/wp-content/uploads/2022/04/22-MT07-Blue-01-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/22-MT07-Blue-02-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/22-MT07-Blue-03-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/22-MT07-Blue-04-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/22-MT07-Blue-05-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/22-MT07-Blue-06-1300x700.jpg","Finance it for $235.00 per month with nothing down for 60 months at 4.49%",,,,,,https://gacheckpoint.com/products/2022-yamaha-mt07-2,Used,Certified,,0,0,-,-,-,-,,,none," New"
44012," 001898",2022,Yamaha,"MT03 ABS",,,,5899,,,,"https://gacheckpoint.com/wp-content/uploads/2022/06/mt03-cyan-01-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/06/mt03-cyan-03-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/06/mt03-cyan-04-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/06/mt03-cyan-05-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/06/mt03-cyan-06-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/06/mt03-cyan-02-1300x700.jpg","Liquid-cooled, Fuel injected, 321cc, DOHC, 8 valves (4 valves/cyl.), inline twin cylinder engine, 6 speed transmission, ABS brakes.Finance it for $162,00 per month for 60 months with nothing down at 4.49%",,,,,,https://gacheckpoint.com/products/2022-yamaha-mt03-abs,Used,Certified,,0,0,-,-,-,-,,,none," New"
44012," 018019",2022,Yamaha,TW200,,,,5499,,,,"https://gacheckpoint.com/wp-content/uploads/2022/06/22-TW200-01-1280x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/06/22-TW200-07-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/06/22-TW200-06-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/06/22-TW200-05-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/06/22-TW200-04-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/06/22-TW200-03-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/06/22-TW200-02-1300x700.jpg","Air-cooled, SOHC, 2-valve, single, 196cc, 5 speed transmission, electric start.Finance it for $155.00 per month for 60 months with nothing down at 4.49%",,,,,,https://gacheckpoint.com/products/2022-yamaha-tw200,Used,Certified,,0,0,-,-,-,-,,,none," New"
44012,,2021,Yamaha,WR450F,,,,11199,,,,"https://gacheckpoint.com/wp-content/uploads/2020/10/2021-WR450F-01-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2020/10/2021-WR450F-02-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2020/10/2021-WR450F-08-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2020/10/2021-WR450F-07-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2020/10/2021-WR450F-06-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2020/10/2021-WR450F-05-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2020/10/2021-WR450F-04-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2020/10/2021-WR450F-03-1300x700.jpg","Fuel injected, liquid-cooled, DOHC, 4-valve (titanium), single cylinder, 450cc, electric start, 5 speed wide ration transmission Finance it for $269.00 per month for 60 months with nothing down at 4.49%",,,,,,https://gacheckpoint.com/products/2021-yamaha-wr450f,Used,Certified,,0,0,-,-,-,-,,,none," New"
44012,,2017,Yamaha,"Grizzly 700 LE",,,,12999,,,,"https://gacheckpoint.com/wp-content/uploads/2022/04/used-Grizz-LE-01-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/used-Grizz-LE-02-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/used-Grizz-LE-03-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/used-Grizz-LE-04-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/used-Grizz-LE-06-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/used-Grizz-LE-07-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/used-Grizz-LE-08-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/used-Grizz-LE-01-1-1300x700.jpg,https://gacheckpoint.com/wp-content/uploads/2022/04/used-Grizz-LE-05-1300x700.jpg","708cc, four stroke, automatic transmission with high and low range, 4x4 on command, front diff lock, power steering.Warn winch, Heated grips, Heated seat cover.Brand New tires, Fresh oil change and Valve check. 3770kms, 213 Hours",,,,,,https://gacheckpoint.com/products/2017-yamaha-grizzly-700-le,Used,Certified,,0,0,-,-,-,-,,,none," New"
