"Dealer ID","Stock Number",Year,Make,Model,Trim,Vin,mileage,Price,Color,"Interior Color",Transmission,photo_urls,Description,Options,"Vehicle Type",Engine,Drive-train,"Fuel Type","Destination URL","New\/Used",Certified,Doors,MSRP,Down-payment,"Fuel city min","Fuel city max","Highway city min","Highway city max",Title,"Date added","Car report",Condition
477,806058,2009,Subaru,Impreza,null,JF1GH62659H806058,164,"6 995",Gris,Gris,Automatique,"http://image.autousagee.ca/100/3611429/p1flrffb76nfdjsg13n61bke1ufg5.jpeg,http://image.autousagee.ca/100/3611429/p1flpf8lmo1oghnvhpu1onl19oq2u.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5uecdkh15uo9o41ak54746.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5uec1amm145g1aaq3mo18tp7.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5uec1rgv5h3196r1a2l13668.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5uec1om51s2sab8n9dgds9.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5uece3919nu1r7f1fb31j3ua.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5uec1ts01cft1s9u1fb91qdhd.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5uecaqa6j11fvp17851g1le.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5uec35588pvuir4815esf.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5uecuirj5i6i9fqe1hemg.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5ueci6n64ke5gv5k1pi8h.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5uec1ro9161fi501iu81a4ki.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5uec1okh5nac9u10i11q9fj.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5uecalb175degb4bttkuk.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5uec18f685i108f1b0c7h5l.jpeg,http://image.autousagee.ca/100/3611429/p1flpf5ued1hrf3sf1loq19pd1s94m.jpeg",description,Options,,2,AWD,null,https://www.demirciauto.ca/vehicule-usagee/201609/subaru-impreza-2009/3611429,Used,Certified,4,0,0,-,-,-,-,"Subaru Impreza 2009 **AWD**TOIT OUVRANT**SIÈGES CHAUFFANTS**2.5i avec ensemble sport **Financement 1ère, 2e et 3e chance !!!** 100% Approuvé** !! 164 073  6 995 Moteur à 4 cylindres | Extérieur gris | Intérieur gris Financement 1ère, 2e et 3e chance !!! 100% Approuvé !!Tous nos véhicules d'occasions viennent avec UNE GARANTIE OFFICIELLE DE 30 JOURS pour votre tranquillité d'esprit !6995 (Prix Original 7795)MEILLEURE PRIX DANS LA PROVINCE !! POINT FINAL !! ... Moteur à 4 cylindres | Extérieur gris | Intérieur gris Financement 1ère, 2e et 3e chance !!! 100% Approuvé !!Tous nos véhicules d'occasions viennent avec UNE GARANTIE OFFICIELLE DE 30 JOURS pour votre tranquillité d'esprit !6995 (Prix Original 7795)MEILLEURE PRIX DANS LA PROVINCE !! POINT FINAL !! ...",,none,used
477,311732,2010,Mazda,Mazda3,null,JM1BL1HF2A1311732,224,"10 000",Argent,Gris,Automatique,,description,Options,,2,Front,null,https://www.demirciauto.ca/vehicule-usagee/201609/mazda-mazda3-2010/3733849,Used,Certified,4,0,0,-,-,-,-,"Mazda Mazda3 2010 GX 224 422  10 000 Moteur à 4 cylindres | Extérieur argent | Intérieur gris Moteur à 4 cylindres | Extérieur argent | Intérieur gris",,none,used
477,099325,2012,Hyundai,Elantra,null,5NPDH4AE0CH099325,159,"7 495",Argent,Gris,Automatique,"http://image.autousagee.ca/100/3621399/p1fn27940d12qlpmo13t5vl01dv46.jpeg,http://image.autousagee.ca/100/3621399/p1fn27940d1180qrflpe1iog77a7.jpeg,http://image.autousagee.ca/100/3621399/p1fn27940dkjl1h8m14kb10j7gn88.jpeg,http://image.autousagee.ca/100/3621399/p1fn27940d1lti72f1g981qqf1itd9.jpeg,http://image.autousagee.ca/100/3621399/p1fn27940dtji1d0r1isrfu1plcb.jpeg,http://image.autousagee.ca/100/3621399/p1fn27940d19ldcce1o2prdm11tkc.jpeg,http://image.autousagee.ca/100/3621399/p1fn27940d1oqfmvdh1194f1053d.jpeg,http://image.autousagee.ca/100/3621399/p1fn27940d1soub3qj4vlsk12b8e.jpeg,http://image.autousagee.ca/100/3621399/p1fn27940dv595s9aau1pg5ah5f.jpeg,http://image.autousagee.ca/100/3621399/p1fn27940drq64pt12fu1is119lug.jpeg,http://image.autousagee.ca/100/3621399/p1fn27940dte01qq41fb5pr1eofh.jpeg,http://image.autousagee.ca/100/3621399/p1fn27940d1e5a1j49gue1nbv8ivi.jpeg,http://image.autousagee.ca/100/3621399/p1fn27940d1jq7v2s1o6a194og3qj.jpeg,http://image.autousagee.ca/100/3621399/p1fn27940d183p1j7uhnn4fq18h6k.jpeg",description,Options,,1,Front,null,https://www.demirciauto.ca/vehicule-usagee/201609/hyundai-elantra-2012/3621399,Used,Certified,4,0,0,-,-,-,-,"Hyundai Elantra 2012 GL **SIÈGES CHAUFFANTS**Financement 1ère, 2e et 3e chance !!!** 100% Approuvé** !! 159 328  7 495 Moteur à 4 cylindres | Extérieur argent | Intérieur gris Tous nos véhicules d'occasions viennent avec UNE GARANTIE OFFICIELLE DE 30 JOURS pour votre tranquillité d'esprit !Financement 1ère, 2e et 3e chance !!! 100% Approuvé !!7495(prix original 8495)MEILLEURE PRIX DANS LA PROVINCE !! POINT FINAL !! ... Moteur à 4 cylindres | Extérieur argent | Intérieur gris Tous nos véhicules d'occasions viennent avec UNE GARANTIE OFFICIELLE DE 30 JOURS pour votre tranquillité d'esprit !Financement 1ère, 2e et 3e chance !!! 100% Approuvé !!7495(prix original 8495)MEILLEURE PRIX DANS LA PROVINCE !! POINT FINAL !! ...",,none,used
477,173107,2010,Dodge,Grand,null,2D4RN4DE3AR173107,180,"10 000",Noir,Gris,Automatique,,description,Options,,3,Traction,null,https://www.demirciauto.ca/vehicule-usagee/201609/dodge-grand-caravan-2010/3733841,Used,Certified,4,0,0,-,-,-,-,"Dodge Grand Caravan 2010 SE/SXT 180 456  10 000 Moteur V6 | Extérieur noir | Intérieur gris Moteur V6 | Extérieur noir | Intérieur gris",,none,used
477,D02715,2009,Ford,Escape,null,1FMCU03G59KD02715,160,"5 995",Gris,Gris,Automatique,"http://image.autousagee.ca/100/3617381/p1fmfuia301626alv101bpjo1ihn5.jpeg,http://image.autousagee.ca/100/3617381/p1fmfuia3062a1hlpprn1kvnfte6.jpeg,http://image.autousagee.ca/100/3617381/p1fmfuia301vmr1dcp1of81pn1t5b7.jpeg,http://image.autousagee.ca/100/3617381/p1fmfuia3017kepeh1ifv19jt1smc8.jpeg,http://image.autousagee.ca/100/3617381/p1fmfuia301v791h791ci01p69176k9.jpeg,http://image.autousagee.ca/100/3617381/p1fmfuia30enltco2qugkbur2a.jpeg,http://image.autousagee.ca/100/3617381/p1fmfuia301jas12ok1i4ddv61l9jb.jpeg,http://image.autousagee.ca/100/3617381/p1fmfuia3083647vhq31nni31jc.jpeg,http://image.autousagee.ca/100/3617381/p1fmfuia301ags1n7n1as2vb719ard.jpeg,http://image.autousagee.ca/100/3617381/p1fmfuia30ldghht16o1ddtthoe.jpeg,http://image.autousagee.ca/100/3617381/p1fmfuia301uu4d611k591dghfhvf.jpeg,http://image.autousagee.ca/100/3617381/p1fmfuia301a7frtv13pk1qlu1a49g.jpeg",description,Options,,3,Traction,null,https://www.demirciauto.ca/vehicule-usagee/201609/ford-escape-2009/3617381,Used,Certified,4,0,0,-,-,-,-,"Ford Escape 2009 **FWD**XLT**MAGS** Financement 1ère, 2e et 3e chance !!! 100% Approuvé !! 160 634  5 995 Moteur V6 | Extérieur gris | Intérieur gris Financement 1ère, 2e et 3e chance !!! 100% Approuvé !!Tous nos véhicules d'occasions viennent avec UNE GARANTIE OFFICIELLE DE 30 JOURS pour votre tranquillité d'esprit !Prix en spécial 5995 (prix original 6995 )MEILLEURE PRIX DANS LA PROVINCE !! POINT ... Moteur V6 | Extérieur gris | Intérieur gris Financement 1ère, 2e et 3e chance !!! 100% Approuvé !!Tous nos véhicules d'occasions viennent avec UNE GARANTIE OFFICIELLE DE 30 JOURS pour votre tranquillité d'esprit !Prix en spécial 5995 (prix original 6995 )MEILLEURE PRIX DANS LA PROVINCE !! POINT ...",,none,used
477,800405,2009,Honda,CR,null,5J6RE48569L800405,150,"10 000",Blanc,Gris,Automatique,,description,Options,,2,4x4,null,https://www.demirciauto.ca/vehicule-usagee/201609/honda-cr-v-2009/3733847,Used,Certified,4,0,0,-,-,-,-,"Honda CR-V 2009 EX 150 700  10 000 Moteur à 4 cylindres | Extérieur blanc | Intérieur gris Moteur à 4 cylindres | Extérieur blanc | Intérieur gris",,none,used
