web-scraper-order,web-scraper-start-url,menu,menu-href,stock,year,make,model,style,cylinder,transmission,engine,drive train,fuel type,vin,mileage,color,color 2,internet price,photo urls,doors,stock2,Vehicle Type,description,trim,certified,link,link-href
1652348429-7689,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,YA012742,2016,Yamaha,YZF-R3,null,,"6-speed, wet multiplate clutch","321cc liquid-cooled, DOHC inline twin-cylinder; 4 valves/cylinder","6-speed, wet multiplate clutch",null,MH3RH06Y7GK012742,5,null,null,"$6,495","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/35/E8/35E856BD-4C9F-4EE1-8792-36F56F3C91D6.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/55/26/55267DDB-041E-4905-ABA0-B3765C58CA0E.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/EF/83/EF8318C5-129F-4D78-9C36-E7C19A815987.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/C9/CE/C9CE6AD0-A8DA-4779-9565-8A920809B0F5.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2016
Yamaha 
YZF-R3",https://www.majorpowersports.com/Pre-owned-Inventory-2016-Yamaha-Motorcycle-Scooter-YZF-R3-Major-Powersports-11953018?ref=list
1652348670-7763,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,VA000006,2022,Vanderhall,Carmel GT,null,,6-Speed Automatic with Paddle Shifters and Shift Gauge,null,6-Speed Automatic with Paddle Shifters and Shift Gauge,null,null,null,null,null,"$43,950","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/BB/AB/BBABDEA6-D5B4-4C3C-9319-9409E16037D2.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/41/E1/41E18348-0FF3-46A0-88AB-B26441CA1835.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/EA/D9/EAD98DFF-ACCA-4F2B-871F-26F8BAF42F77.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/D6/13/D613AF71-C5C7-4FDE-9636-78F1B55A078A.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2022
Vanderhall 
Carmel GT",https://www.majorpowersports.com/New-Inventory-2022-Vanderhall-Motorcycle-Scooter-Carmel-GT-Major-Powersports-11859953?ref=list
1652348650-7756,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,ZEL21409,2022,Zero,SR/S Power Tank,null,,Clutchless direct drive,null,Clutchless direct drive,null,538ZFEZ74NCL21409,null,null,null,"$22,695","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/17158591-0-114354941.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2022
Zero 
SR/S Power Tank",https://www.majorpowersports.com/New-Inventory-2022-Zero-Motorcycle-Scooter-SR-S-Power-Tank-Major-Powersports-12100231?ref=list
1652348513-7717,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,KAA18548,2021,Kawasaki,Z125 PRO,null,,"4-speed, return shift","4-stroke, 1 cylinder, SOHC, 2-valve","4-speed, return shift",null,JKABRRJ17MDA18548,389 mi,"Pearl Nightshade Teal, Metallic Flat Spark Black",null,"$3,695","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/39/E1/39E1E339-66C1-4BA8-A584-FC946A9E5579.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/01/74/01746FE0-73CF-40A0-8368-68733DD167C7.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/D7/AC/D7AC4E77-C404-4A22-A0E3-03DCA99DF5D2.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2021
Kawasaki 
Z125 PRO",https://www.majorpowersports.com/Pre-owned-Inventory-2021-Kawasaki-Motorcycle-Scooter-Z125-PRO-Major-Powersports-12049482?ref=list
1652348548-7722,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SR004489,2021,SSR Motorsports,SR70AUTO,null,,null,null,null,null,L3BSGJD38M0004489,1,null,null,$959,[],null,,Motorcycle / Scooter,null,null,,"2021
SSR Motorsports 
SR70AUTO",https://www.majorpowersports.com/New-Inventory-2021-SSR-Motorsports-Motorcycle-Scooter-SR70AUTO-Major-Powersports-11410709?ref=list
1652348738-7787,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,BED49140,2022,Benelli,302S,null,,null,"Parallel 2 cylinder, 4-stroke, liquid cooled 4 valves per cylinder, DOHC.",null,null,LBBPHE045NBD49140,null,null,null,"$4,899","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/17768581-0-111709531.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2022
Benelli 
302S",https://www.majorpowersports.com/New-Inventory-2022-Benelli-Motorcycle-Scooter-302S-Major-Powersports-11661238?ref=list
1652348679-7766,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SRU128139,2022,SSR Motorsports,SRU170RS,null,,Belt Drive + Chain Drive w/ CVT (F-N-R),"Single Cylinder, 4 Stroke, Horizontal Type",Belt Drive + Chain Drive w/ CVT (F-N-R),null,null,null,"Matte Black, Matte Blue, Gloss Red",null,"$4,459","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/18379611-0-114860331.jpg""}]",null,,Utility Vehicle,null,null,,"2022
SSR Motorsports 
SRU170RS",https://www.majorpowersports.com/New-Inventory-2022-SSR-Motorsports-Utility-Vehicle-SRU170RS-Major-Powersports-11902024?ref=list
1652348449-7695,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,BM615460,2016,BMW,R nineT Scrambler Monolith Metallic Matt,null,,null,"Air/oil-cooled flat twin ('Boxer') 4-stroke engine, two camshafts and four radially aligned valves per cylinder, central balancer shaft",null,null,WB10A160XGZ615460,11475 mi,null,null,"$15,095","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/67/17/6717976D-9164-48D0-8C5C-631EA6D698BA.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/B0/52/B0523F5B-39B2-4EFA-90DB-19354923A314.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/60/86/6086E88E-6C9E-4D49-8711-8C35AFBA10F9.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/81/5F/815FD0F2-1F03-428F-9BEF-67DB99618216.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/DB/03/DB03712D-742F-4CE7-9AE9-011B494B9946.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/CD/8F/CD8FF7AC-AE96-4E98-986E-8D697A67B294.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2016
BMW 
R nineT Scrambler Monolith Metallic Matt",https://www.majorpowersports.com/Pre-owned-Inventory-2016-BMW-Motorcycle-Scooter-R-nineT-Scrambler-Monolith-Metallic-Matt-Major-Powersports-11576703?ref=list
1652348390-7677,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,S21034,2021,SSR Motorsports,SR125,null,,4-up Manual,"YX™, Single Cylinder, 4 Stroke",4-up Manual,null,SYMYJ3131M1100515,1,"Red, Blue, Green, Orange, Black, White",null,"$1,359","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/15730141-0-101847921.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2021
SSR Motorsports 
SR125",https://www.majorpowersports.com/New-Inventory-2021-SSR-Motorsports-Motorcycle-Scooter-SR125-Major-Powersports-11339517?ref=list
1652348701-7774,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SR100752,2022,SSR Motorsports,SR125,null,,4-up Manual,"YX™, Single Cylinder, 4 Stroke",4-up Manual,null,SYMYJ3134M1100752,null,"Red, Blue, Green, Orange, Black, White",null,"$1,359","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/18372751-0-114824291.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2022
SSR Motorsports 
SR125",https://www.majorpowersports.com/New-Inventory-2022-SSR-Motorsports-Motorcycle-Scooter-SR125-Major-Powersports-11661241?ref=list
