web-scraper-order,web-scraper-start-url,link,link-href,stock,year,make,model,style,cylinder,transmission,engine,drive train,fuel type,vin,mileage,color,color 2,internet price,photo urls,doors,Vehicle Type,description,trim,certified,data,condition,pagination,pagination-href,pagination2,pagination2-href,menu,menu-href
1654620189-14501,https://www.autodealxpress.com/inventory,2012 MERCEDES-BENZ C-CLASS2012 MERCEDES-BENZ C-CLASS,https://www.autodealxpress.com/inventory/mercedes-benz/c-class/ad201395/,AD201395,"Year
                                
                    2012","Make
                                
                    MERCEDES-BENZ","Model
                                
                    C-CLASS",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    4-CYL, TURBO, 1.8 LITER","Drivetrain
                                
                    RWD",null,"VIN
                                
                    WDDGF4HB0CR201395","Mileage
                                
                    64,291","Exterior Color
                                
                    GRAY","Interior Color
                                
                    -","$13,990","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202201-96f9e193fb8a42ffaea43f32823156a1.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202201-d2c6137b8eda4289b042e3f61f458f51.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202201-06dc3d0a952b42929fe5e2ac88c7b7f5.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202201-dfa9fc5812064417b0ba3cc43deea12b.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202201-1df9d7006a534259bfdf603f61600001.jpg""}]",4,null,"Gray 2012 Mercedes-Benz C-Class C 250 Sport 4D Sedan RWD 7-Speed Automatic 1.8L I4 DOHC 16V

21/31 City/Highway MPG Odometer is 23463 miles below market average!


The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.

Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress or its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    C 250 SPORT SEDAN 4D",,2012 MERCEDES-BENZ C-CLASS,null,1,https://www.autodealxpress.com/inventory/?page_no=1,,,Inventory,https://www.autodealxpress.com/inventory/
1654620277-14511,https://www.autodealxpress.com/inventory,2021 JEEP WRANGLER UNLIMITED2021 JEEP WRANGLER UNLIMITED,https://www.autodealxpress.com/inventory/jeep/wrangler-unlimited/adu752238/,ADU752238,"Year
                                
                    2021","Make
                                
                    JEEP","Model
                                
                    WRANGLER UNLIMITED",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V8, HEMI, 6.4 LITER","Drivetrain
                                
                    4WD",null,"VIN
                                
                    1C4JJXSJ6MW752238","Mileage
                                
                    37","Exterior Color
                                
                    BLUE","Interior Color
                                
                    -","$90,700",[],4,null,"The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    RUBICON 392 SPORT UTILITY 4D",,2021 JEEP WRANGLER UNLIMITED,null,4,https://www.autodealxpress.com/inventory/?page_no=4,,,Inventory,https://www.autodealxpress.com/inventory/
1654620395-14524,https://www.autodealxpress.com/inventory,2017 HONDA CIVIC2017 HONDA CIVIC,https://www.autodealxpress.com/inventory/honda/civic/ad359328/,AD359328,"Year
                                
                    2017","Make
                                
                    HONDA","Model
                                
                    CIVIC",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    4-CYL, TURBO, 1.5 LITER","Drivetrain
                                
                    FWD",null,"VIN
                                
                    2HGFC3B33HH359328","Mileage
                                
                    141,851","Exterior Color
                                
                    GRAY","Interior Color
                                
                    GRAY","$15,897","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202204-93ac1c179da7440a9424be76f57723f3.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202204-dbdc36bc42d440aea159804e45d01108.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202204-f17c5c1d1cfd4623b9db4927a44fc725.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202204-f0f0c224c99b4012a0798f5a9fa3a202.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202204-b6ae09e6cb114abd9154374063c7afcc.jpg""}]",2,null,"The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    EX-T COUPE 2D",,2017 HONDA CIVIC,null,2,https://www.autodealxpress.com/inventory/?page_no=2,,,Inventory,https://www.autodealxpress.com/inventory/
1654620429-14528,https://www.autodealxpress.com/inventory,2016 CHEVROLET EXPRESS COMMERCIAL CUTAWAY2016 CHEVROLET EXPRESS COMMERCIAL CUTAWAY,https://www.autodealxpress.com/inventory/chevrolet/express-commercial-cutaway/adb122542/,ADB122542,"Year
                                
                    2016","Make
                                
                    CHEVROLET","Model
                                
                    EXPRESS COMMERCIAL CUTAWAY",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V8, FLEX FUEL, 6.0 LITER","Drivetrain
                                
                    RWD",null,"VIN
                                
                    1GB3GSCG0G1122542","Mileage
                                
                    260,500","Exterior Color
                                
                    WHITE","Interior Color
                                
                    -","$17,990","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202204-9b0cfb780daa467f94e95d1489fb4c30.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202204-515f9a90fda5499aac6ce9cc930cc471.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202204-8153672e79194370bc25e7cf0afb06c7.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202204-c39beecc22d34db49b388dbf02ad15af.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202204-bda4629c3f124117966031e292931905.jpg""}]",2,null,"The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    CUTAWAY VAN 2D",,2016 CHEVROLET EXPRESS COMMERCIAL CUTAWAY,null,2,https://www.autodealxpress.com/inventory/?page_no=2,,,Inventory,https://www.autodealxpress.com/inventory/
1654620299-14513,https://www.autodealxpress.com/inventory,2019 CHEVROLET CAMARO2019 CHEVROLET CAMARO,https://www.autodealxpress.com/inventory/chevrolet/camaro/adr142686/,ADR142686,"Year
                                
                    2019","Make
                                
                    CHEVROLET","Model
                                
                    CAMARO",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V6, 3.6 LITER","Drivetrain
                                
                    RWD",null,"VIN
                                
                    1G1FB3DS4K0142686","Mileage
                                
                    27,403","Exterior Color
                                
                    WHITE","Interior Color
                                
                    RED","$33,990","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202203-5c4d9ea4cd7e4dfe8feceb55308d628f.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-707b733292154ba3a189c8dca7b5d29c.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-41bcc70479714456ba33b5b278ca28cc.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-1078ab879019422c88044fb080dd3d4a.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-5a78ec4bfe1e48b4aafba87efe46de0f.jpg""}]",2,null,"The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    LT CONVERTIBLE 2D",,2019 CHEVROLET CAMARO,null,3,https://www.autodealxpress.com/inventory/?page_no=3,,,Inventory,https://www.autodealxpress.com/inventory/
1654620274-14510,https://www.autodealxpress.com/inventory,2022 JEEP WRANGLER UNLIMITED2022 JEEP WRANGLER UNLIMITED,https://www.autodealxpress.com/inventory/jeep/wrangler-unlimited/ad127747/,AD127747,"Year
                                
                    2022","Make
                                
                    JEEP","Model
                                
                    WRANGLER UNLIMITED",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V8, HEMI, 6.4 LITER","Drivetrain
                                
                    4WD",null,"VIN
                                
                    1C4JJXSJ1NW127747","Mileage
                                
                    76","Exterior Color
                                
                    BLACK","Interior Color
                                
                    BLACK","$97,990","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202205-69652242f3b547169f5afa1537c752cf.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-b5782bad78be4ee4b161822a0c7b717f.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-18fab200f69541a38e72328b9354d6d4.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-677e64a3f4d14b0da48c2d07030f10e3.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-10229b2714d84ed29c3099fdefb1a649.jpg""}]",4,null,"The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    RUBICON 392 SPORT UTILITY 4D",,2022 JEEP WRANGLER UNLIMITED,null,4,https://www.autodealxpress.com/inventory/?page_no=4,,,Inventory,https://www.autodealxpress.com/inventory/
1654620221-14505,https://www.autodealxpress.com/inventory,2022 RAM 1500 CREW CAB2022 RAM 1500 CREW CAB,https://www.autodealxpress.com/inventory/ram/1500-crew-cab/ad227132/,AD227132,"Year
                                
                    2022","Make
                                
                    RAM","Model
                                
                    1500 CREW CAB",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V8, HEMI, SUPERCHARGED, 6.2 LITER","Drivetrain
                                
                    4WD",null,"VIN
                                
                    1C6SRFU95NN227132","Mileage
                                
                    38","Exterior Color
                                
                    SILVER","Interior Color
                                
                    BLACK","$113,900","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202205-12c6173cb83e41d78c6883bc292c1ea0.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-cca0d4be5d934224a8cc69e061558dbc.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-a537426797d1408e814c2cc68af778ad.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-f8e2c785ae944e9b9ff9d1592047834d.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-1097b282ed9e412ea717d6b272ce4ed5.jpg""}]",4,null,"The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    TRX PICKUP 4D 5 1/2 FT",,2022 RAM 1500 CREW CAB,null,4,https://www.autodealxpress.com/inventory/?page_no=4,,,Inventory,https://www.autodealxpress.com/inventory/
1654620158-14495,https://www.autodealxpress.com/inventory,2015 MERCEDES-BENZ G-CLASS2015 MERCEDES-BENZ G-CLASS,https://www.autodealxpress.com/inventory/mercedes-benz/g-class/adu236741/,ADU236741,"Year
                                
                    2015","Make
                                
                    MERCEDES-BENZ","Model
                                
                    G-CLASS",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V8, TWIN TURBO, 5.5 LITER","Drivetrain
                                
                    AWD",null,"VIN
                                
                    WDCYC7DF9FX236741","Mileage
                                
                    68,610","Exterior Color
                                
                    BLACK","Interior Color
                                
                    -","$99,990","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202202-7778ef6028114428853972bb1a2afc2f.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202202-3774abe6c6984f4da7bd53c5c9b48f70.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202202-8eb5995c0a0b42a08955c16de4625c4e.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202202-d2d37c8b50b34f16868871b290e7c253.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202202-0d9a3f0b68a44863871eb1a0662644b2.jpg""}]",4,null,"Clean CARFAX.

Black 2015 Mercedes-Benz G-Class G 63 AMG® 4MATIC® 4D Sport Utility 4MATIC® 7G-TRONIC 7-Speed Automatic 5.5L V8 BiTurbo


Reviews:
  * Strong V8 engines; go-anywhere capability; unmatched presence; luxuriously appointed cabin. Source: Edmunds
  * The G-Class keeps elevating the pinnacle of refinement. From its advanced lighting to its classic upright shape, its purposeful elegance is both unmistakable and irrefutable. Its sturdy ladder frame and galvanized steel body are hand-welded. The frame is flowed with hot wax to resist corrosion. Even with its dramatically fresh design, ergonomically optimized layout and advanced luxuries, the G-Class cabin remains a living tribute to a tradition of hand craftsmanship that's all but vanished from the earth. Exquisitely handcrafted designo leather and cabin trim (standard on the G63 AMG) offers an extensive palette of personalization options, with eight colors of Nappa leather, three woods and carbon fiber from which to choose. As you make your way off-road, three sequentially lockable differentials offer increasingly masterful capability. Each differential can be locked in sequence (center, rear, and front) via a set of buttons on the dash, to help maintain the ideal balance of torque and traction for the situation. The 382-hp G550 V-8 generates 391 lb-ft of torque, with an exceptional 75 percent of it on tap at just 1,000 rpm. The G63 AMG is able to crank out 536hp and 560 lb-ft of torque. A dual-stage intake and continuously variable timing of both its intake and exhaust valves enhances efficiency and emissions. The standard G-Class permanent all-wheel drive system continually sends power to all four wheels. Advanced entertainment, navigation and communication systems work with intuitive ease in the G-Class. Bluetooth lets you make calls hands-free and play music wire-free. The elegant central controller and color displays put a world of features within easy reach. Source: The Manufacturer Summary


The price you see is the price you pay. No haggling. No back and forth. No pressure.

Accessories and color may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress or its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    G 63 AMG SPORT UTILITY 4D",,2015 MERCEDES-BENZ G-CLASS,null,1,https://www.autodealxpress.com/inventory/?page_no=1,,,Inventory,https://www.autodealxpress.com/inventory/
1654620449-14530,https://www.autodealxpress.com/inventory,2016 FERRARI 488 GTB2016 FERRARI 488 GTB,https://www.autodealxpress.com/inventory/ferrari/488-gtb/ad219054/,AD219054,"Year
                                
                    2016","Make
                                
                    FERRARI","Model
                                
                    488 GTB",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V8, TURBO, 3.9 LITER","Drivetrain
                                
                    RWD",null,"VIN
                                
                    ZFF79ALA6G0219054","Mileage
                                
                    51,780","Exterior Color
                                
                    WHITE","Interior Color
                                
                    RED","$224,900","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202202-e29c79d696b54fcdad638d6d1b55d632.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202202-dc1ea9b0530a4c31aa6d45794cff0710.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202202-3c3dd1b33a5f4d2094e63bc1ed94bb0c.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202202-9cd4ea75c99f477386757a06e4aa6c30.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202202-cb7522961a224d61b47fb02ee84028a4.jpg""}]",2,null,"Red 2016 Ferrari 488 GTB 2D Coupe RWD 7-Speed Automatic V8


The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.

Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress or its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    COUPE 2D",,2016 FERRARI 488 GTB,null,2,https://www.autodealxpress.com/inventory/?page_no=2,,,Inventory,https://www.autodealxpress.com/inventory/
1654620364-14520,https://www.autodealxpress.com/inventory,2018 VOLKSWAGEN TIGUAN2018 VOLKSWAGEN TIGUAN,https://www.autodealxpress.com/inventory/volkswagen/tiguan/ad078020/,AD078020,"Year
                                
                    2018","Make
                                
                    VOLKSWAGEN","Model
                                
                    TIGUAN",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    4-CYL, TURBO, 2.0 LITER","Drivetrain
                                
                    FWD",null,"VIN
                                
                    3VV3B7AX4JM078020","Mileage
                                
                    88,373","Exterior Color
                                
                    BLACK","Interior Color
                                
                    BLACK","$20,990","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202112-52cbb319d2ed4d3a91d17a5a7774f732.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202112-18aaad87552e4574a1d3aaa8b6cf719b.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202112-26bc2fbc0ac2487e81582b789e6624e6.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202112-84c808a4b2034ea0aa6a5b7cff820878.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202112-90aae4d695244611887d7d9615a8e76a.jpg""}]",4,null,"Black 2018 Volkswagen Tiguan 2.0T SE 4D Sport Utility FWD 8-Speed Automatic with Tiptronic 2.0L TSI DOHC

22/27 City/Highway MPG

Awards:
  * 2018 KBB.com 10 Best SUVs Under $25,000


The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.

Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress or its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    2.0T SE SPORT UTILITY 4D",,2018 VOLKSWAGEN TIGUAN,null,3,https://www.autodealxpress.com/inventory/?page_no=3,,,Inventory,https://www.autodealxpress.com/inventory/
1654620381-14522,https://www.autodealxpress.com/inventory,2018 NISSAN VERSA2018 NISSAN VERSA,https://www.autodealxpress.com/inventory/nissan/versa/ad825247/,AD825247,"Year
                                
                    2018","Make
                                
                    NISSAN","Model
                                
                    VERSA",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    4-CYL, 1.6 LITER","Drivetrain
                                
                    FWD",null,"VIN
                                
                    3N1CN7AP1JL825247","Mileage
                                
                    49,220","Exterior Color
                                
                    GRAY","Interior Color
                                
                    -","$12,190",[],4,null,"The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    S PLUS SEDAN 4D",,2018 NISSAN VERSA,null,2,https://www.autodealxpress.com/inventory/?page_no=2,,,Inventory,https://www.autodealxpress.com/inventory/
1654620200-14502,https://www.autodealxpress.com/inventory,2012 HYUNDAI GENESIS2012 HYUNDAI GENESIS,https://www.autodealxpress.com/inventory/hyundai/genesis/ad203420/,AD203420,"Year
                                
                    2012","Make
                                
                    HYUNDAI","Model
                                
                    GENESIS",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V8, 5.0 LITER","Drivetrain
                                
                    RWD",null,"VIN
                                
                    KMHGC4DH8CU203420","Mileage
                                
                    131,360","Exterior Color
                                
                    SILVER","Interior Color
                                
                    BLACK","$11,990","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202203-abf985dc3eee432e969a4304adf9a50a.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-8cbc5e11de94480586d1f25b0529c2da.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-a7bfd6c82d5142f7bf9877a14ba69203.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-8e0a774385e94b119f23c23f4e028fd1.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-c715891ca24a494fb7ac9004a9817246.jpg""}]",4,null,"The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    5.0 SEDAN 4D",,2012 HYUNDAI GENESIS,null,1,https://www.autodealxpress.com/inventory/?page_no=1,,,Inventory,https://www.autodealxpress.com/inventory/
1654620414-14526,https://www.autodealxpress.com/inventory,2017 GMC YUKON XL2017 GMC YUKON XL,https://www.autodealxpress.com/inventory/gmc/yukon-xl/ad393082/,AD393082,"Year
                                
                    2017","Make
                                
                    GMC","Model
                                
                    YUKON XL",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V8, ECOTEC3, 5.3 LITER","Drivetrain
                                
                    4WD",null,"VIN
                                
                    1GKS2GKC8HR393082","Mileage
                                
                    123,933","Exterior Color
                                
                    BLACK","Interior Color
                                
                    BLACK","$33,990","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202205-0643f3b170bd4eb99222c1bb401c2c7e.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-3509dabda70b4488a5df1685c6b8d120.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-2a83f95ca91f443285bba99d0b29b2c2.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-3e20d13097de45c6b54c8a311f0cfe30.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-ca2513a34c80462d866cfe8894d74ce1.jpg""}]",4,null,"Clean CARFAX.

Onyx Black 2017 GMC Yukon XL SLT 4D Sport Utility 4WD 6-Speed Automatic Electronic with Overdrive EcoTec3 5.3L V8 4WD.


Awards:
  * 2017 KBB.com Brand Image Awards

Reviews:
  * Seating for up to nine passengers; nicer interior than other truck-based, full-size SUVs; all-terrain mobility with four-wheel drive; tow rating is higher than average for the class. Source: Edmunds


The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.

Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress or its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    SLT SPORT UTILITY 4D",,2017 GMC YUKON XL,null,2,https://www.autodealxpress.com/inventory/?page_no=2,,,Inventory,https://www.autodealxpress.com/inventory/
